size,time
154600,816
154700,804
154800,804
154900,804
155000,828
155100,816
155200,804
155300,804
155400,816
155500,828
155600,804
155700,804
155800,828
155900,828
156000,816
156100,828
156200,816
156300,828
156400,804
156500,816
156600,804
156700,816
156800,828
156900,816
157000,804
157100,828
157200,804
157300,815
157400,816
157500,804
157600,804
157700,816
157800,803
157900,840
158000,816
158100,816
158200,792
158300,804
158400,804
158500,816
158600,816
158700,828
158800,816
158900,840
159000,816
159100,804
159200,804
159300,816
159400,804
159500,828
159600,816
159700,816
159800,804
159900,839
160000,804
160100,840
160200,803
160300,828
160400,816
160500,840
160600,792
160700,804
160800,804
160900,828
161000,804
161100,816
161200,804
161300,828
161400,804
161500,816
161600,816
161700,816
161800,804
161900,816
162000,780
162100,804
162200,828
162300,804
162400,816
162500,816
162600,804
162700,840
162800,804
162900,804
163000,804
163100,852
163200,840
163300,828
163400,804
163500,804
163600,828
163700,852
163800,780
163900,816
164000,804
164100,816
164200,828
164300,816
164400,816
164500,828
164600,828
164700,815
164800,792
164900,804
165000,828
165100,840
165200,816
165300,828
165400,804
165500,828
165600,804
165700,815
165800,816
165900,828
166000,804
166100,804
166200,804
166300,816
166400,804
166500,816
166600,816
166700,828
166800,804
166900,828
167000,780
167100,804
167200,780
167300,852
167400,816
167500,816
167600,792
167700,804
167800,816
167900,816
168000,804
168100,827
168200,816
168300,828
168400,804
168500,804
168600,828
168700,840
168800,803
168900,816
169000,804
169100,816
169200,792
169300,840
169400,804
169500,804
169600,816
169700,815
169800,792
169900,816
170000,804
170100,815
170200,804
170300,816
170400,804
170500,804
170600,792
170700,828
170800,816
170900,828
171000,828
171100,816
171200,828
171300,828
171400,828
171500,852
171600,804
171700,816
171800,828
171900,816
172000,792
172100,816
172200,792
172300,804
172400,816
172500,828
172600,792
172700,816
172800,792
172900,816
173000,804
173100,816
173200,792
173300,816
173400,804
173500,816
173600,816
173700,828
173800,804
173900,804
174000,792
174100,828
174200,792
174300,804
174400,792
174500,804
174600,792
174700,828
174800,816
174900,804
175000,840
175100,816
175200,816
175300,840
175400,792
175500,828
175600,804
175700,792
175800,792
175900,840
176000,804
176100,828
176200,804
176300,816
176400,828
176500,828
176600,804
176700,828
176800,828
176900,816
177000,815
177100,804
177200,804
177300,815
177400,816
177500,804
177600,803
177700,828
177800,804
177900,828
178000,816
178100,804
178200,792
178300,816
178400,816
178500,804
178600,803
178700,816
178800,828
178900,816
179000,792
179100,804
179200,816
179300,804
179400,828
179500,828
179600,816
179700,828
179800,816
179900,804
180000,816
180100,804
180200,828
180300,804
180400,828
180500,804
180600,804
180700,827
180800,804
180900,816
181000,804
181100,816
181200,803
181300,804
181400,804
181500,816
181600,804
181700,792
181800,792
181900,804
182000,792
182100,816
182200,804
182300,816
182400,804
182500,804
182600,780
182700,804
182800,804
182900,792
183000,792
183100,804
183200,792
183300,780
183400,792
183500,792
183600,804
183700,828
183800,792
183900,804
184000,792
184100,816
184200,804
184300,816
184400,804
184500,792
184600,816
184700,804
184800,804
184900,792
185000,792
185100,815
185200,804
185300,816
185400,804
185500,804
185600,828
185700,804
185800,804
185900,803
186000,816
186100,804
186200,792
186300,804
186400,828
186500,816
186600,804
186700,816
186800,792
186900,804
187000,804
187100,816
187200,792
187300,804
187400,804
187500,804
187600,816
187700,804
187800,804
187900,828
188000,816
188100,804
188200,792
188300,792
188400,804
188500,792
188600,792
188700,816
188800,804
188900,792
189000,804
189100,852
189200,791
189300,804
189400,804
189500,792
189600,792
189700,816
189800,792
189900,804
190000,792
190100,804
190200,816
190300,792
190400,792
190500,816
190600,803
190700,804
190800,816
190900,804
191000,804
191100,804
191200,816
191300,792
191400,804
191500,792
191600,816
191700,804
191800,792
191900,792
192000,792
192100,816
192200,804
192300,804
192400,816
192500,816
192600,792
192700,816
192800,792
192900,792
193000,804
193100,804
193200,792
193300,816
193400,816
193500,804
193600,804
193700,792
193800,804
193900,816
194000,804
194100,792
194200,804
194300,792
194400,792
194500,792
194600,804
194700,792
194800,792
194900,816
195000,791
195100,804
195200,804
195300,804
195400,792
195500,804
195600,816
195700,804
195800,828
195900,804
196000,828
196100,804
196200,828
196300,804
196400,816
196500,816
196600,852
196700,792
196800,828
196900,828
197000,804
197100,816
197200,792
197300,816
197400,804
197500,792
197600,804
197700,804
197800,804
197900,816
198000,804
198100,816
198200,804
198300,804
198400,792
198500,792
198600,804
198700,816
198800,804
198900,804
199000,804
199100,792
199200,816
199300,804
199400,804
199500,804
199600,792
199700,792
199800,792
199900,804
200000,792
200100,804
200200,804
200300,804
200400,804
200500,804
200600,804
200700,828
200800,792
200900,816
201000,804
201100,816
201200,816
201300,815
201400,804
201500,792
201600,804
201700,804
201800,804
201900,804
202000,792
202100,791
202200,852
202300,804
202400,816
202500,828
202600,828
202700,804
202800,804
202900,816
203000,816
203100,816
203200,804
203300,828
203400,792
203500,792
203600,803
203700,804
203800,792
203900,816
204000,815
204100,816
204200,816
204300,816
204400,804
204500,804
204600,804
204700,816
204800,840
204900,804
205000,816
205100,803
205200,792
205300,815
205400,804
205500,828
205600,816
205700,804
205800,804
205900,804
206000,804
206100,804
206200,804
206300,804
206400,792
206500,803
206600,804
206700,804
206800,792
206900,804
207000,840
207100,804
207200,792
207300,828
207400,804
207500,804
207600,792
207700,816
207800,816
207900,816
208000,816
208100,804
208200,815
208300,816
208400,804
208500,816
208600,792
208700,816
208800,792
208900,804
209000,804
209100,791
209200,816
209300,816
209400,792
209500,815
209600,792
209700,804
209800,804
209900,828
210000,816
210100,816
210200,816
210300,828
210400,816
210500,816
210600,816
210700,804
210800,804
210900,804
211000,792
211100,816
211200,816
211300,828
211400,792
211500,816
211600,804
211700,828
211800,804
211900,816
212000,792
212100,828
212200,804
212300,828
212400,804
212500,828
212600,804
212700,816
212800,792
212900,816
213000,804
213100,804
213200,816
213300,804
213400,816
213500,804
213600,791
213700,816
213800,792
213900,828
214000,804
214100,792
214200,804
214300,828
214400,804
214500,816
214600,792
214700,816
214800,792
214900,804
215000,804
215100,828
215200,804
215300,828
215400,804
215500,816
215600,804
215700,816
215800,804
215900,816
216000,792
216100,803
216200,791
216300,816
216400,792
216500,816
216600,803
216700,828
216800,816
216900,804
217000,828
217100,804
217200,804
217300,816
217400,804
217500,804
217600,816
217700,816
217800,804
217900,804
218000,828
218100,816
218200,851
218300,816
218400,840
218500,828
218600,804
218700,816
218800,791
218900,804
219000,804
219100,816
219200,792
219300,804
219400,792
219500,804
219600,804
219700,815
219800,792
219900,828
220000,816
220100,804
220200,804
220300,804
220400,804
220500,840
220600,792
220700,828
220800,804
220900,816
221000,804
221100,840
221200,828
221300,816
221400,828
221500,804
221600,804
221700,816
221800,816
221900,828
222000,791
222100,816
222200,840
222300,828
222400,816
222500,852
222600,792
222700,816
222800,792
222900,816
223000,816
223100,804
223200,792
223300,816
223400,804
223500,804
223600,804
223700,816
223800,792
223900,803
224000,816
224100,803
224200,792
224300,804
224400,792
224500,804
224600,792
224700,804
224800,804
224900,816
225000,816
225100,851
225200,840
225300,840
225400,840
225500,840
225600,839
225700,840
225800,828
225900,816
226000,792
226100,804
226200,804
226300,804
226400,816
226500,816
226600,792
226800,816
226900,816
227000,792
227100,828
227200,804
227300,804
227400,804
227500,816
227600,816
227700,827
227800,792
227900,804
228000,792
228100,816
228200,816
228300,815
228400,816
228500,828
228600,816
228700,804
228800,816
228900,816
229000,804
229100,852
229200,804
229300,816
229400,792
229500,828
229600,852
229700,816
229800,780
229900,828
230000,816
230100,816
230200,792
230300,804
230400,803
230500,804
230600,816
230700,816
230800,816
230900,804
231000,804
231100,804
231200,816
231300,804
231400,816
231500,804
231600,792
231700,804
231800,816
231900,804
232000,780
232100,804
232200,792
232300,804
232400,816
232500,816
232600,792
232700,815
232800,792
232900,816
233000,816
233100,816
233200,816
233300,816
233400,803
233500,816
233600,816
233700,816
233800,792
233900,828
234000,804
234100,828
234200,816
234300,816
234400,780
234500,828
234600,804
234700,816
234800,804
234900,816
235000,791
235100,804
235200,804
235300,804
235400,792
235500,804
235600,792
235700,828
235800,816
235900,816
236000,804
236100,804
236200,792
236300,816
236400,780
236500,804
236600,792
236700,804
236800,792
236900,816
237000,792
237100,804
237200,804
237300,792
237400,780
237500,792
237600,792
237700,804
237800,804
237900,804
238000,804
238100,792
238200,804
238300,816
238400,804
238500,804
238600,792
238700,792
238800,780
238900,804
239000,792
239100,792
239200,816
239300,792
239400,780
239600,780
239700,816
239800,792
239900,804
240000,792
240100,816
240200,792
240300,852
240400,780
240500,828
240600,792
240700,792
240800,780
240900,803
241000,792
241100,816
241200,792
241300,792
241400,792
241500,792
241600,792
241700,792
241800,792
241900,780
242000,780
242100,779
242200,792
242300,779
242400,804
242500,791
242600,792
242700,780
242800,780
242900,780
243000,792
243100,780
243200,792
243300,816
243400,804
243500,804
243600,804
243700,792
243800,792
243900,792
244000,792
244100,792
244200,780
244300,792
244400,791
244500,792
244600,816
244700,828
244800,792
244900,780
245000,792
245100,792
245200,804
245300,792
245400,792
245500,792
245600,779
245700,792
245800,804
245900,804
246000,804
246100,804
246200,804
246300,803
246400,804
246500,804
246600,792
246700,804
246800,792
246900,792
247000,792
247100,792
247200,804
247300,780
247400,792
247500,804
247600,804
247700,828
247800,804
247900,828
248000,804
248100,804
248200,803
248300,816
