size,time
117200,768
117300,780
117400,828
117500,780
117600,780
117700,768
117800,768
117900,804
118000,768
118100,780
118200,744
118300,768
118400,756
118500,780
118600,768
118700,780
118800,768
118900,768
119000,756
119100,780
119200,756
119300,816
119400,768
119500,804
119600,768
119700,768
119800,768
119900,768
120000,768
120100,804
120200,768
120300,780
120400,780
120500,780
120600,756
120700,792
120800,792
120900,768
121000,780
121100,780
121200,780
121300,792
121400,756
121500,780
121600,768
121700,780
121800,756
121900,780
122000,768
122100,792
122200,768
122300,768
122400,780
122500,768
122600,768
122700,792
122800,756
122900,780
123000,780
123100,792
123200,828
123300,768
123400,768
123500,780
123600,780
123700,792
123800,768
123900,792
124000,792
124100,780
124200,768
124300,780
124400,768
124500,780
124600,780
124700,780
124800,768
124900,792
125000,768
125100,780
125200,768
125300,804
125400,780
125500,768
125600,780
125700,792
125800,768
125900,792
126000,780
126100,792
126200,768
126300,780
126400,768
126500,780
126600,756
126700,768
126800,768
126900,768
127000,768
127100,792
127200,768
127300,768
127400,768
127500,768
127600,768
127700,780
127800,780
127900,780
128000,792
128100,792
128200,756
128300,780
128400,756
128500,792
128600,768
128700,768
128800,756
128900,768
129000,756
129100,780
129200,768
129300,780
129400,768
129500,780
129600,756
129700,780
129800,756
129900,768
130000,768
130100,768
130200,756
130300,780
130400,756
130500,756
130600,768
130700,756
130800,756
130900,768
131000,756
131100,804
131200,780
131300,804
131400,792
131500,792
131600,804
131700,792
131800,792
131900,792
132000,792
132100,804
132200,792
132300,816
132400,804
132500,816
132600,792
132700,804
132800,804
132900,804
133000,804
133100,804
133200,792
133300,804
133400,792
133500,816
133600,792
133700,804
133800,816
133900,816
134000,792
134100,804
134200,792
134300,816
134400,792
134500,804
134600,792
134700,804
134800,792
134900,816
135000,792
135100,816
135200,792
135300,804
135400,804
135500,828
135600,792
135700,816
135800,804
135900,816
136000,792
136100,804
136200,792
136300,816
136400,804
136500,804
136600,792
136700,804
136800,816
136900,804
137000,792
137100,792
137200,804
137300,816
137400,804
137500,792
137600,804
137700,804
137800,792
137900,804
138000,792
138100,792
138200,804
138300,804
138400,804
138500,804
138600,792
138700,816
138800,828
138900,804
139000,792
139100,816
139200,780
139300,804
139400,792
139500,816
139600,804
139700,804
139800,816
139900,816
140000,816
140100,792
140200,792
140300,816
140400,804
140500,816
140600,804
140700,792
140800,804
140900,828
141000,792
141100,804
141200,792
141300,828
141400,816
141500,816
141600,804
141700,804
141800,816
141900,828
142000,828
142100,816
142200,804
142300,828
142400,792
142500,816
142600,792
142700,804
142800,792
142900,828
143000,792
143100,816
143200,804
143300,792
143400,780
143500,816
143600,804
143700,828
143800,792
143900,816
144000,816
144100,816
144200,804
144300,828
144400,804
144500,840
144600,804
144700,804
144800,792
144900,828
145000,816
145100,816
145200,816
145300,828
145400,828
145500,828
145600,828
145700,804
145800,816
145900,828
146000,804
146100,828
146200,816
146300,816
146400,804
146500,804
146600,816
146700,828
146800,816
146900,804
147000,804
147100,792
147200,816
147300,816
147400,804
147500,804
147600,804
147700,828
147800,804
147900,816
148000,816
148200,804
148300,828
148400,804
148500,828
148600,828
148700,828
148800,804
148900,828
149000,828
149100,828
149200,804
149300,816
149400,816
149500,816
149600,780
149700,828
149800,816
149900,828
150000,816
150100,804
150200,792
150300,816
150400,816
150500,816
150600,804
150700,792
150800,804
150900,828
151000,780
151100,804
151200,792
151300,816
151400,804
151500,792
151600,792
151700,816
151800,804
151900,804
152000,792
152100,804
152200,804
152300,816
152400,792
152500,804
152600,816
152700,816
152800,804
152900,816
153000,792
153100,816
153200,792
153300,816
153400,804
153500,816
153600,792
153700,780
153800,804
153900,804
154000,804
154100,804
154200,792
154300,816
154400,816
154500,816
154600,804
154700,804
154800,804
154900,816
155000,804
155100,792
155200,792
155300,804
155400,804
155500,816
155600,792
155700,804
155800,804
155900,816
156000,804
156100,804
156200,804
156300,816
156400,804
156500,828
156600,804
156700,828
156800,816
156900,816
157000,804
157100,828
157200,828
157300,816
157400,804
157500,804
157600,792
157700,816
157800,792
157900,792
158000,804
158100,804
158200,804
158300,804
158400,816
158500,804
158600,828
158700,828
158800,804
158900,804
159000,804
159100,828
159200,792
159300,816
159400,780
159500,828
159600,804
159700,816
159800,780
159900,804
160000,792
160100,804
160200,792
160300,816
160400,804
160500,816
160600,792
160700,804
160800,804
160900,816
161000,816
161100,828
161200,804
161300,816
161400,792
161500,804
161600,792
161700,804
161800,792
161900,816
162000,804
162100,792
162200,816
162300,828
162400,792
162500,816
162600,792
162700,816
162800,816
162900,816
163000,804
163100,816
163200,804
163300,816
163400,804
163600,804
163700,792
163800,792
163900,804
164000,816
164100,816
164200,816
164300,816
164400,792
164500,816
164600,804
164700,804
164800,804
164900,816
165000,816
165100,816
165200,792
165300,816
165400,792
165500,804
165600,804
165700,804
165800,792
165900,792
166000,804
166100,804
166200,804
166300,792
166400,816
166500,780
166600,792
166700,804
166800,816
