size,time
992140,2568
992130,3396
992120,3444
992110,3083
992100,2616
992090,4140
992080,3792
992070,3816
992060,3024
992050,3960
992040,3516
992030,3276
992020,3588
992010,3792
992000,3204
991990,3312
991980,3324
991970,3084
991960,2916
991950,3024
991940,3576
991930,3564
991920,3144
991910,3396
991900,3144
991890,4296
991880,3240
991870,3864
991860,3072
991850,3660
991840,3684
991830,3324
991820,3204
991810,3636
991800,2976
991790,3635
991780,3276
991770,3384
991760,3972
991750,3228
991740,3624
991730,3624
991720,3156
991710,3000
991700,3180
991690,3660
991680,3120
991670,3384
991660,3372
991650,3060
991640,3192
991630,3720
991620,3480
991610,3144
991600,3540
991590,3024
991580,3792
991570,4116
991560,3096
991550,3599
991540,3180
991530,4128
991520,3492
991510,3372
991500,3624
991490,2928
991480,2784
991470,3876
991460,3312
991450,3624
991440,3720
991430,4308
991420,3000
991410,3096
991400,3564
991390,3060
991380,3504
991370,3852
991360,3636
991350,4224
991340,3480
991330,3528
991320,3144
991310,3336
991300,3276
991290,3660
991280,4524
991270,3744
991260,3828
991250,3648
991240,3672
991230,4752
991220,3408
991210,4008
991200,3516
991190,3540
991180,3780
991170,4248
991160,3564
991150,4356
991140,3696
991130,2832
991120,3228
991110,4176
991100,3744
991090,3516
991080,3768
991070,3768
991060,3516
991050,3384
991040,4008
991030,3612
991020,3240
991010,3600
991000,3768
990990,3408
990980,3528
990970,4212
990960,3672
990950,3552
990940,3936
990930,3696
990920,4008
990910,3096
990900,3504
990890,3288
990880,3300
990870,3540
990860,3660
990850,3420
990840,3516
990830,4260
990820,2976
990810,4080
990800,3768
990790,2916
990780,3804
990770,3228
990760,3504
990750,3648
990740,3420
990730,3396
990720,4392
990710,3852
990700,4140
990690,4368
990680,4488
990670,3660
990660,3468
990650,4080
990640,4032
990630,4488
990620,3792
990610,3228
990600,3000
990590,3396
990580,3396
990570,3348
990560,3828
990550,3252
990540,3300
990530,2964
990520,3456
990510,3384
990500,4236
990490,3648
990480,3108
990470,3780
990460,3012
990450,3756
990440,3888
990430,3984
990420,3696
990410,3360
990400,3300
990390,3444
990380,4044
990370,3420
990360,4344
990350,3636
990340,3684
990330,3816
990320,3888
990310,3312
990300,3516
990290,2460
990280,3924
990270,3288
990260,3516
990250,3011
990240,3372
990230,4224
990220,3288
990210,4164
990200,4008
990190,3828
990180,3396
990170,4236
990160,4584
990150,3504
990140,2928
990130,3528
990120,3720
990110,3744
990100,3624
990090,3732
990080,3528
990070,3648
990060,3768
990050,3528
990040,3312
990030,3300
990020,3360
990010,3936
990000,3408
989990,3660
